product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
COX CMK63R,COX,44000,https://img.danuri.io/catalog-image/803/372/075/33610ec8e76d489aa8ea24f460f3bbae.jpg?shrink=130:130&_v=20260617080451,무접점 자석축,유선,미니,37g,888,유선,영문 정각,RGB 백라이트,,,,75372803,,https://prod.danawa.com/info/?pcode=75372803&cate=112782,True
마이크로닉스 워프 WK3 마닉축 블루투스 RGB 텐키리스 게이밍 기계식 키보드,마이크로닉스,186190,https://img.danuri.io/catalog-image/071/332/016/c65b993b6680485ab86481a760f8e778.jpg?shrink=130:130&_v=20260617080451,기계식,유선+무선,텐키리스,50g,817,"전용동글(리시버), 블루투스",레이저각인 키캡,RGB 백라이트,적축,,독자 규격,16332077,,https://prod.danawa.com/info/?pcode=16332077&cate=112782,True
마이크로닉스 워프 WK3 마닉축 블루투스 RGB 텐키리스 게이밍 기계식 키보드,마이크로닉스,79900,https://img.danuri.io/catalog-image/071/332/016/c65b993b6680485ab86481a760f8e778.jpg?shrink=130:130&_v=20260617080451,기계식,유선+무선,텐키리스,50g,817,"전용동글(리시버), 블루투스",레이저각인 키캡,RGB 백라이트,갈축,,독자 규격,16332071,,https://prod.danawa.com/info/?pcode=16332071&cate=112782,True
마이크로닉스 워프 WK3 마닉축 블루투스 RGB 텐키리스 게이밍 기계식 키보드,마이크로닉스,65000,https://img.danuri.io/catalog-image/071/332/016/c65b993b6680485ab86481a760f8e778.jpg?shrink=130:130&_v=20260617080451,기계식,유선+무선,텐키리스,50g,817,"전용동글(리시버), 블루투스",레이저각인 키캡,RGB 백라이트,청축,,독자 규격,16332011,,https://prod.danawa.com/info/?pcode=16332011&cate=112782,True
LEOBOG Hi8SE 유무선 기계식 스카이 실버,LEOBOG,99000,https://img.danuri.io/catalog-image/570/312/077/e3e218cc0a20448c86914d812b80a92e.jpg?shrink=130:130&_v=20260617080443,기계식,유선+무선,미니,40g,1600,전용동글(리시버),한/영 정각,RGB 백라이트,세이야축,SEIYA 세이야,,77312570,,https://prod.danawa.com/info/?pcode=77312570&cate=112782,True
LEOBOG Hi8SE 유무선 기계식 스카이 실버,LEOBOG,109000,https://img.danuri.io/catalog-image/570/312/077/e3e218cc0a20448c86914d812b80a92e.jpg?shrink=130:130&_v=20260617080443,기계식,유선+무선,미니,40g,1600,전용동글(리시버),한/영 정각,RGB 백라이트,저소음 바다축,,,78612401,,https://prod.danawa.com/info/?pcode=78612401&cate=112782,True
COX COS10 유선 키보드 마우스 세트,COX,8900,https://img.danuri.io/catalog-image/683/979/011/ee7b7a2f031f4579904fbdcbb493be6c.jpg?shrink=130:130&_v=20260617092939,멤브레인,유선,풀배열,0g,345,유선,한/영 정각,없음,,,,11979683,,https://prod.danawa.com/info/?pcode=11979683&cate=112782,True
CORSAIR K55 CORE TKL 멤브레인,CORSAIR,44000,https://img.danuri.io/catalog-image/371/998/094/bd9d7d8817ff4300b26f47abc104f505.jpg?shrink=130:130&_v=20260617115356,멤브레인,유선,텐키리스,0g,617,유선,레이저각인 키캡,레인보우 백라이트,,,,94998371,,https://prod.danawa.com/info/?pcode=94998371&cate=112782,True
COX CK20th Century 멤브레인,COX,16500,https://img.danuri.io/catalog-image/863/191/028/8443d4020a954ad6b7f63f37d4aa601b.jpg?shrink=130:130&_v=20260617080508,멤브레인,유선,풀배열,0g,760,유선,레이저각인 키캡,없음,,,,28191863,,https://prod.danawa.com/info/?pcode=28191863&cate=112782,True
MOUNTAIN EVEREST MAX 그레이,MOUNTAIN,495000,https://img.danuri.io/catalog-image/478/848/017/3841c3bd8b8d4ee9b896210a3b3b190e.jpg?shrink=130:130&_v=20260617080613,기계식,유선,풀배열,45g,1373,유선,영문 정각,RGB 백라이트,적축,MX Red,체리,17848460,,https://prod.danawa.com/info/?pcode=17848460&cate=112782,True
